,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
45,0,grievance ignored,unknown,united states,2023-11-16,charge extra 100 dollar extra legroom without disclosing fact area used bassinet extremely hard reach electric port tv entertainment system unlike seat benefit sitting fact result sitting got sleep sitting next newborn baby 13 hour flight request refund first seat upgraded denied id already flown flight used seat grievance ignored,,economy class,,Unknown,NYC,TBS,1,10,2023
46,0,crew level come,sahil goel,united states,2023-11-11,flown used best airline flight attendant warm welcoming today flew interaction checkin flight attendant everyone passive aggressive seat still nice amazing space amenity crew level come significantly,,nan,,Unknown,SEA,DEL,1,11,2023
47,2,seat narrow uncomfortable,halden,unknown,2023-11-11,first flight qatar class since onset pandemic huge disappointment catering among worst long time even half way cabin one choice meal available minced beef mashed potato poor taste presentation bread roll replaced corn bread butter provided service slow finally ended 35h takeoff seat narrow uncomfortable considering price ive paid got return fly qatar return old standard service catering,Solo Leisure,economy class,BOEING 787,True,BRU,DOH,0,11,2023
48,10,favorite airline moment,rm sinnott,unknown,2023-11-07,find qatar airway favorite airline moment whole experience booking traveling end destination professional easy make change return journey called qatar hour time call answered straight away lady said could make change aud 60 alternatively could online aud 11 chose change online easy flight week perdohlys great even though economy food much better airline flown recently ill definitely choosing qatar ever possible future,Solo Leisure,economy class,A380,False,NAN,NAN,0,11,2023
48,10,favorite airline moment,rm sinnott,unknown,2023-11-07,find qatar airway favorite airline moment whole experience booking traveling end destination professional easy make change return journey called qatar hour time call answered straight away lady said could make change aud 60 alternatively could online aud 11 chose change online easy flight week perdohlys great even though economy food much better airline flown recently ill definitely choosing qatar ever possible future,Solo Leisure,economy class,BOEING 787,False,NAN,NAN,0,11,2023
49,0,food could improved,unknown,sweden,2023-11-06,great cabin seat crew service excellent food could improved red wine shouldnt served cold wifi included hefty business class fare,Solo Leisure,business class,A350-1000,True,DPS,DOH,0,11,2023
50,0,comfort quality top,marsen,sweden,2023-11-06,unknown,Solo Leisure,business class,BOEING 787-8,Unknown,DOH,DPS,0,10,2023
51,0,excelent trip,marsen,unknown,2023-11-06,excelent trip world class airline top greeting top service great plane seat food could bit better wine list excelent still think wifi free business class considering fair,Solo Leisure,business class,BOEING 787-9,True,ARN,DOH,0,10,2023
52,10,flight attendant erica amazing,tarig eltigani,united states,2023-11-02,flew november 2nd doha washington flight attendant erica served aisle amazing experience smiling courteously served type customer patience whole 14 hour flight,Solo Leisure,economy class,A350,True,DOH,WDC,0,11,2023
53,1,unknown,parker,united kingdom,2023-11-02,unknown,Business,business class,,True,LON,LAD,1,6,2023
54,6,transfer counter,anders pedersen,unknown,2023-10-31,riyadh doha 2810 2023 full late evening flight modern aircraft a350900q time checkin became hassle transfer counter shift terminal arriving saudia forced pay transit visa 150 usd despite never landside 1 hour transit time scrupulous exploitation unacceptable taking advantage people rush qr transfer desk transfer service big international airport flying several time per day good thing upon request least reopened checkin counter allowing checkin even minimum time 60 minute elapsed lady behind also late disallowed checkin contrary least got premium hefty visa fee boarding smooth despite flight fully stuffed apart empty seat next alcohol served onboard reference holy national day riyadh onboard served cold mezze meal mine still frozen single service round service last full hour prior landing jetbridge provided end wifi complicated working big waste time trying connect,,nan,A350-900Q,True,RUH,DOH,0,10,2023
55,5,a350 good comfortable,charles price,france,2023-10-30,first time qatar using ba mile find hard understand airline appreciated better food average hot drink served breakfast due danger spilling half cabin crew good efficient half a350 good comfortable sufficient legroom 787 less,Solo Leisure,economy class,,True,ZRH,LUN,1,0,
56,8,friendly cabin staff service,unknown,united kingdom,2023-10-29,unknown,Solo Leisure,economy class,,True,NAN,NAN,0,10,2023
57,10,qatar delivers top notch time,anders pedersen,unknown,2023-10-28,dohakuwait 26 oct 2023 b777300 transit doha went well testing new goldplatinum lounge lounge airport overstaffed taste extend become intrusive little transfer revised seat selection easy new robot machine lounge machine read passport get full overview print new bp impressive short evening flight less 1 hour duration huge aircraft virtually full 300 pax briefly time gate boarding functioned well division passenger 4 zone treated respect served excellently food drink informed online prior travel raised expectation served nice cold arabian mezze nicely prepared presented transparent design box separated food section spoon fixed elegantly across section softdrinks numerous surprisingly cava champagne served well wine spirit beer two catering service round 55 minute impressive staff competent focused polite extremely efficient gave 3 seat due privilege status ffp headset blanket given ife wifi functioned well given headset good quality even would offered free business class seat would changed given 69g seat full appreciation pleasant experience flight cant fault anything fa well groomed well rested transmitting sparkling mood spoke thai hostess m pisolaya outstanding qatar delivers top notch time particularly air well done qr,,economy class,B777-300,Unknown,DOH,KWI,0,10,2023
58,0,thank great experience,richard ofiera,germany,2023-10-27,flight qr 176 oslo doha 26102023 took flight part trip qatar uae oman chose qr price good one best airline expected good flight good service one cabin crew member made flight exceptional carina portugal warmhearted extremely welcoming caretaking passenger see inexperienced new staff trying best carina say diamond know flight rise fails crew performance qatar airway happy team thank great experience always happy landing,Family Leisure,nan,BOEING 787-9,False,OSL,DOH,0,10,2023
59,9,overall nice experience,alok mishra,nepal,2023-10-27,online check smooth airport check kathmandu slow transit doha smooth cabin crew flight friendly attentive caring meal ordered nice except brunch served dohasao paulo route seat boeing 777 bit congested felt cramped legroom enough kathmandu doha fine seat flight entertainment similar flight one hour complimentary wifi made available sao paulo route could made free entirety hour toilet clean good drink served good extra drinkstea coffee cola given request overall nice experience 5 star,Family Leisure,first class,A330-300,Unknown,KTM,GRU,1,10,2023
