,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
59,9,overall nice experience,alok mishra,nepal,2023-10-27,online check smooth airport check kathmandu slow transit doha smooth cabin crew flight friendly attentive caring meal ordered nice except brunch served dohasao paulo route seat boeing 777 bit congested felt cramped legroom enough kathmandu doha fine seat flight entertainment similar flight one hour complimentary wifi made available sao paulo route could made free entirety hour toilet clean good drink served good extra drinkstea coffee cola given request overall nice experience 5 star,Family Leisure,first class,BOEING 777-200LR,Unknown,KTM,GRU,1,10,2023
60,10,unknown,mustafa manzoor,unknown,2023-10-26,airline nice seat food entertainment bathroom clean food cabin crew also good legroom also good pillow blanket nice,Family Leisure,economy class,,Unknown,DOH,CHI,0,10,2023
61,5,unknown,michael schade,germany,2023-10-25,check bkk airport swift friendly lounge bkk topnotch usual favorite lounge within qr network food ex bkk great service comfort glorious a380 good always transfer doha airport disappointing booked almaha transfer service show gate still waiting response since happened third time year lounge crowded chance shower since waiting time hour transit 15h departure gate brussels one dreaded bus gate ground level chaotic unorganized boarding stressed shouting gate agent simply fun go 30 minute bus ride 2 morning flight europe departed remote stand year thats expect world class airport flight brussels newish b789 new suite seating find narrow feel claustrophobic food average ex doha prior departure tried book meal ex doha via app work sent email customer service told issue got nothing therefore wont able assist attempt made forward issue department simply letting pick meal choice manually like flying qatar issue ground poor customer service big letdown justify premium airfare ive paid,Solo Leisure,nan,A380,True,BKK,BRU,1,0,
61,5,unknown,michael schade,germany,2023-10-25,check bkk airport swift friendly lounge bkk topnotch usual favorite lounge within qr network food ex bkk great service comfort glorious a380 good always transfer doha airport disappointing booked almaha transfer service show gate still waiting response since happened third time year lounge crowded chance shower since waiting time hour transit 15h departure gate brussels one dreaded bus gate ground level chaotic unorganized boarding stressed shouting gate agent simply fun go 30 minute bus ride 2 morning flight europe departed remote stand year thats expect world class airport flight brussels newish b789 new suite seating find narrow feel claustrophobic food average ex doha prior departure tried book meal ex doha via app work sent email customer service told issue got nothing therefore wont able assist attempt made forward issue department simply letting pick meal choice manually like flying qatar issue ground poor customer service big letdown justify premium airfare ive paid,Solo Leisure,nan,BOEING 789,True,BKK,BRU,1,0,
62,10,cabin crew super nice,han,china,2023-10-21,took flight qr719 doha seattle 20th oct neha cabin crew super nice whole journey friendly warm thoughtful made long flight much enjoyable attentive always provided assistance shes really great think really lucky qatar airway,Solo Leisure,economy class,,True,DOH,SEA,0,10,2023
63,0,unknown,gina monguia,france,2023-10-16,another great experience flying qatar airway thank crew member professionalism kindness 100 recommend qatar airway,Solo Leisure,economy class,,True,CDG,MEL,1,10,2023
64,10,absolutely lovely experience,halshan,kuwait,2023-10-11,absolutely lovely experience cabin crew accommodating excellent would like personally thank joseph tom making flight comfortable possible,Couple Leisure,business class,,True,VIE,KWI,1,10,2023
65,7,unknown,unknown,united kingdom,2023-10-11,colombo doha aircraft used airbus a330 qatar really need either renovate replace cabin one really showing age tired including nonfunctioning seat next able full recline mode dated large flight entertainment box take one third available space beneath seat front window seat aisle seat central block three seat toilet mess ife limited compared modern qatar aircraft vastly inferior qatar a380s 777s etc thankfully relatively short flight wouldnt wanted long haul thats sure food great since covid flight food service economisedsimplified,,economy class,A330,True,CMB,DOH,0,10,2023
66,10,ife exceptional,p pearson,united kingdom,2023-10-11,doha london heathrow 10th october 2023 777er always bit cramped airline squeezed 10 abreast noticeably less spacious qatar a380 also 10 abreast cabin clean wellmaintained took air conditioning kick engine start wow cold normally like cool cabin possible get warm blanket etc impossible cool cabin warm bit far cool side even blanket maybe though ife exceptional updatedmore modern cabin aircraft kept clean throughout including washroom despite many airline simplifying food provision since covid food great particularly dessert well tasty white chocolate middle complete qatar branding bang time unlike every recent experience heathrow record 25 hour wait bag arrived promptly could fault anything trip aside usual gripe cramped 10 abreast 777 cabin great service clean aircraft great food time departure arrival,Business,economy class,BOEING 777ER,True,NAN,NAN,0,0,
67,1,offered 10000 avios compensation,n putul,australia,2023-10-10,unknown,,nan,A350-1000,True,DOH,SIN,0,9,2023
68,8,spoiled ground staff doha,tony halliwell,united arab emirates,2023-10-07,wonderful experience spoiled ground staff doha flight london heathrow started amazingly service premium checkin passage security fast lane qatar premium lounge heathrow oasis calm food drink excellent staff lacked polished 5 star touch service comfort a380 although new qsuites excellent delicious food breakfast lunch stark contrast poor offering outbound flight seat comfortable heathrow flight arrived agate dubai flight departed cgate got cgate politely asked lounge close gate received terse rude response qatar airway lady setting gate businessfirst passenger made hang around 30 minute whilst economy class passenger bussed plane service paid service flight dubai a350 good seat comfortable,Couple Leisure,business class,A380,True,LHR,DXB,1,10,2023
69,7,excellent experience let delay,tony halliwell,united arab emirates,2023-10-07,unknown,Couple Leisure,business class,BOEING 787-8,True,DXB,LGW,1,9,2023
70,10,unknown,k mansour,united kingdom,2023-10-06,brilliant five star customer service provided namvkwla tae vi calvin onboard qr962 2nd october nothing much food okay seat fine onboard new a350100,Couple Leisure,economy class,A350-1000,True,NAN,NAN,0,10,2023
71,1,missing bag apparently traced am,philip armstrong,south africa,2023-10-05,unknown,Couple Leisure,economy class,,True,AMS,CPT,1,9,2023
72,9,unknown,ladislav habart,thailand,2023-10-04,unknown,Solo Leisure,economy class,BOEING 777,True,NAN,NAN,0,10,2023
73,0,unknown,unknown,australia,2023-10-03,seat felt like auditorium seating ok 20 minute leave bottom numb anything longer seating simply small packed cushioning basically non existent sitting isle kicked bumped stood nearly every time staff member came past supposedly seat gave leg room paid extra,Couple Leisure,nan,BOEING 777-300ER,True,MAN,BNE,1,9,2023
74,10,exceptional service,unknown,united states,2023-10-03,unknown,Business,economy class,A350,True,WDC,KTM,1,9,2023
74,10,exceptional service,unknown,united states,2023-10-03,unknown,Business,economy class,BOEING 787,True,WDC,KTM,1,9,2023
75,3,unknown,cambarda,france,2023-10-03,online checkin give availability choose seat free middle aisle side return ticket way wanted window side pay extra fee disappointing food 2 option chicken rice braised beef come didnt beef anymore take chicken biryani butter cheese served online checkin counter muscat waited 25 minute one family immigration issue since 1 counter available,Business,nan,,True,CDG,MCT,1,9,2023
76,10,exceptional service,myrick,united states,2023-10-02,surprise qatar airway ranked among top 10 airline globally recently traveled 11 17yearold boy doha bangkok must commend airline exceptional service crew member friendly also softspoken ensuring everything needed making u feel incredibly comfortable throughout flight thank outstanding service look forward flying qatar airway future,Family Leisure,economy class,,Unknown,NAN,NAN,0,10,2023
77,0,garuda business lounge really awful,g mayle,australia,2023-10-01,unknown,Couple Leisure,business class,,True,NAN,NAN,0,0,
78,3,use small aircraft,mohamed redha al lawati,unknown,2023-09-30,flew vienna muscat via doha aircraft 1st leg airbus 320 old aircraft seat hardly space row screen slow poor resolution inflight program limited 2 toilet economy cabin resulting long queue postlunch use small aircraft almost 5 hour 15 min flight a320 may appropriate short flight definitely flight,,economy class,A320,True,VIE,MCT,1,9,2023
79,8,leg room felt little tighter,morton,czech republic,2023-09-30,flight bangkok doha a380800 flight doha vienna airbus a320 flight time staff flight professional friendly food option average good choice drink option notice entertainment system seemed lot less choice content last flew qatar airway leg room felt little tighter arriving doha around 1100 pm meant huge crowd waiting get security doha airport ok flight back europe meant taking bus plane bit pain flight completely full bangkok asked check counter whether full flight guy behind desk said overbooked guess remaining passenger got fly next qatar flight doha left hour half flight still fly qatar airway still recommend,,nan,A380-800,True,BKK,VIE,1,9,2023
80,0,unknown,albert tay,singapore,2023-09-30,unknown,Business,business class,,False,SIN,FCO,1,9,2023
81,1,didnt acknowledge greet,h nair,bahrain,2023-09-27,unknown,Solo Leisure,economy class,,Unknown,DOH,BAH,0,9,2023
82,10,helped u tremendously,ding,austria,2023-09-23,unknown,Couple Leisure,economy class,,True,VIE,SIN,1,0,
83,0,first class lounge doha amazing,alwaleed althani,qatar,2023-09-23,first class lounge doha amazing went vip bus plane actually took longer flight front cabin plane called first wouldnt qualify even c class europe take landing immaculate pilot amazing food ok say 55 minute flight,Solo Leisure,first class,BOEING 737-8MAX,True,NAN,NAN,0,9,2023
84,9,experience couldnt better,anna makris,australia,2023-09-23,read many negative review airline little apprehensive im happy report experience couldnt better checking boarding seamless cabin crew absolutely lovely attentive everyone seat comfortable food generally ok wouldve preferred sweet option breakfast apart everything perfect definitely fly qatar,Couple Leisure,nan,,False,ATH,MEL,1,9,2023
